cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
1,277,1,31227334.24,"100000002398779100,100000007055802100,100000005610717100,100000007138613100,100000004759121100","Гипотеза: возможная связка сбора и распределения. Исходных узлов: 1; внутренний оборот 31 227 334,24 ₸. Кандидаты: сбор 51, распределение 20, транзит 10. Чаще всего: периферия (узлов — 102)."
2,56,1,10014014.02,"100000002894076100,100000005778283100,100000002762076100,100000000274067100,100000001677929100","Гипотеза: возможная связка сбора и распределения. Исходных узлов: 1; внутренний оборот 10 014 014,02 ₸. Кандидаты: сбор 8, распределение 2, транзит 2. Чаще всего: получение без наблюдаемого выхода (узлов — 29)."
3,146,3,19519090.0,"100000005830339100,100000008165763100,100000007908818100,100000003249054100,100000003528285100","Гипотеза: возможная связка сбора и распределения. Исходных узлов: 3; внутренний оборот 19 519 090 ₸. Кандидаты: сбор 18, распределение 8, транзит 4. Чаще всего: получение без наблюдаемого выхода (узлов — 84)."
4,41,3,4888834.28,"100000005339662100,100000004156082100,100000005175148100,100000000076451100,100000001987030100","Гипотеза: возможная связка сбора и распределения. Исходных узлов: 3; внутренний оборот 4 888 834,28 ₸. Кандидаты: сбор 4, распределение 1, транзит 3. Чаще всего: получение без наблюдаемого выхода (узлов — 23)."
5,158,1,32434270.59,"100000002838861100,100000002849158100,100000002547110100,100000002718366100,100000001875239100","Гипотеза: возможная связка сбора и распределения. Исходных узлов: 1; внутренний оборот 32 434 270,59 ₸. Кандидаты: сбор 34, распределение 15, транзит 3. Чаще всего: периферия (узлов — 64)."
6,4,0,460000.0,"100000006069103100,100000000201868100,100000003192220100,100000006787636100","Гипотеза: возможный транзитный участок. Исходных узлов: 0; внутренний оборот 460 000 ₸. Кандидаты: сбор 0, распределение 0, транзит 2. Чаще всего: получение без наблюдаемого выхода (узлов — 2)."
7,5,0,1189154.0,"100000000291906100,100000000291908100,100000004670388100,100000004722630100,100000004691350100","Гипотеза: возможный транзитный участок. Исходных узлов: 0; внутренний оборот 1 189 154 ₸. Кандидаты: сбор 0, распределение 0, транзит 1. Чаще всего: периферия (узлов — 4)."
8,53,1,2993313.0,"100000003265158100,100000001899164100,100000004386258100,100000004692798100,100000004662806100","Гипотеза: возможная связка сбора и распределения. Исходных узлов: 1; внутренний оборот 2 993 313 ₸. Кандидаты: сбор 7, распределение 2, транзит 3. Чаще всего: получение без наблюдаемого выхода (узлов — 22)."
9,106,0,11794744.0,"100000008603629100,100000000661912100,100000001857829100,100000000413678100,100000003366471100","Гипотеза: возможная связка сбора и распределения. Исходных узлов: 0; внутренний оборот 11 794 744 ₸. Кандидаты: сбор 11, распределение 5, транзит 3. Чаще всего: периферия (узлов — 66)."
10,6,1,1615030.0,"100000008751429100,100000005456919100,100000008736940100,100000008193577100,100000000307908100","Гипотеза: возможная связка сбора и распределения. Исходных узлов: 1; внутренний оборот 1 615 030 ₸. Кандидаты: сбор 3, распределение 1, транзит 0. Чаще всего: сбор средств (узлов — 3)."
11,126,0,24907250.33,"100000006889963100,100000008560717100,100000006734214100,100000001330685100,100000000331309100","Гипотеза: возможная связка сбора и распределения. Исходных узлов: 0; внутренний оборот 24 907 250,33 ₸. Кандидаты: сбор 19, распределение 4, транзит 3. Чаще всего: периферия (узлов — 51)."
12,54,1,6244622.0,"100000003115284100,100000007998965100,100000008730846100,100000003390036100,100000003360542100","Гипотеза: возможная связка сбора и распределения. Исходных узлов: 1; внутренний оборот 6 244 622 ₸. Кандидаты: сбор 12, распределение 2, транзит 3. Чаще всего: получение без наблюдаемого выхода (узлов — 24)."
13,52,5,4171441.0,"100000008346837100,100000001236706100,100000005074393100,100000000489417100,100000008733194100","Гипотеза: возможная связка сбора и распределения. Исходных узлов: 5; внутренний оборот 4 171 441 ₸. Кандидаты: сбор 7, распределение 1, транзит 2. Чаще всего: периферия (узлов — 32)."
14,15,0,850450.0,"100000002472632100,100000001526235100,100000005505655100,100000002708624100,100000002984403100","Гипотеза: возможная связка сбора и распределения. Исходных узлов: 0; внутренний оборот 850 450 ₸. Кандидаты: сбор 2, распределение 2, транзит 0. Чаще всего: периферия (узлов — 9)."
15,15,0,3626010.0,"100000008461532100,100000000791285100,100000006704530100,100000003122817100,100000002691583100","Гипотеза: возможный участок распределения. Исходных узлов: 0; внутренний оборот 3 626 010 ₸. Кандидаты: сбор 0, распределение 1, транзит 1. Чаще всего: периферия (узлов — 8)."
16,14,0,1605604.0,"100000008213966100,100000007382543100,100000000838385100,100000004407753100,100000003001661100","Гипотеза: возможный участок распределения. Исходных узлов: 0; внутренний оборот 1 605 604 ₸. Кандидаты: сбор 0, распределение 1, транзит 0. Чаще всего: периферия (узлов — 11)."
17,127,7,18414962.28,"100000000706545100,100000001530983100,100000006518161100,100000008144528100,100000004394765100","Гипотеза: возможная связка сбора и распределения. Исходных узлов: 7; внутренний оборот 18 414 962,28 ₸. Кандидаты: сбор 17, распределение 10, транзит 5. Чаще всего: получение без наблюдаемого выхода (узлов — 60)."
18,1,1,0.0,100000000456947100,Изолированный узел: в выборке нет связей; назначение определить нельзя.
19,61,0,4350466.67,"100000005473151100,100000005704413100,100000001927599100,100000008104567100,100000004569484100","Гипотеза: возможная связка сбора и распределения. Исходных узлов: 0; внутренний оборот 4 350 466,67 ₸. Кандидаты: сбор 5, распределение 3, транзит 1. Чаще всего: периферия (узлов — 33)."
20,7,0,143000.0,"100000005911352100,100000003962994100,100000004508696100,100000005127767100,100000000507799100","Гипотеза: назначение по структуре не определяется. Исходных узлов: 0; внутренний оборот 143 000 ₸. Кандидаты: сбор 0, распределение 0, транзит 0. Чаще всего: периферия (узлов — 5)."
21,8,0,2473417.91,"100000008175078100,100000004906181100,100000008675322100,100000000557536100,100000008349740100","Гипотеза: возможный участок распределения. Исходных узлов: 0; внутренний оборот 2 473 417,91 ₸. Кандидаты: сбор 0, распределение 1, транзит 0. Чаще всего: периферия (узлов — 7)."
22,17,1,21586840.0,"100000002224132100,100000004603109100,100000004892144100,100000001965374100,100000000594783100","Гипотеза: возможный участок сбора. Исходных узлов: 1; внутренний оборот 21 586 840 ₸. Кандидаты: сбор 2, распределение 0, транзит 0. Чаще всего: периферия (узлов — 9)."
23,270,1,10178044.0,"100000001166289100,100000002578405100,100000002733905100,100000001697501100,100000008737958100","Гипотеза: возможная связка сбора и распределения. Исходных узлов: 1; внутренний оборот 10 178 044 ₸. Кандидаты: сбор 2, распределение 3, транзит 3. Чаще всего: получение без наблюдаемого выхода (узлов — 249)."
24,6,1,1527967.0,"100000007939160100,100000005183943100,100000003888271100,100000000955444100,100000007930878100","Гипотеза: назначение по структуре не определяется. Исходных узлов: 1; внутренний оборот 1 527 967 ₸. Кандидаты: сбор 0, распределение 0, транзит 0. Чаще всего: периферия (узлов — 3)."
