gid,role,role_score,cluster_id,priority_score,evidence
100000002398779100,consolidator,0.987953,1,0.752876,Плательщиков — 13; дальше отправлено 6% входа. В выборке получено 1 095 690 ₸.
100000004015047100,consolidator,0.954943,42,0.750366,"Плательщиков — 9; дальше отправлено 7,5% входа. В выборке получено 919 104 ₸."
100000003115284100,consolidator,0.892141,12,0.681863,"Плательщиков — 8; дальше отправлено 23,9% входа. В выборке получено 2 160 500 ₸."
100000006889963100,consolidator,0.758019,11,0.665475,Плательщиков — 4; дальше отправлено 31% входа. В выборке получено 1 431 000 ₸.
100000007055802100,consolidator,0.820247,1,0.660396,"Плательщиков — 6; дальше отправлено 29,9% входа. В выборке получено 2 024 999 ₸."
100000002838861100,consolidator,0.846393,5,0.646004,"Плательщиков — 5; дальше отправлено 1,8% входа. В выборке получено 554 523,95 ₸."
100000005610717100,consolidator,0.710526,1,0.644854,"Плательщиков — 4; дальше отправлено 54,7% входа. В выборке получено 484 500 ₸."
100000005830339100,consolidator,0.70756,3,0.63841,"Плательщиков — 5; дальше отправлено 71,2% входа. В выборке получено 476 341 ₸."
100000008560717100,consolidator,0.900548,11,0.61639,"Плательщиков — 7; дальше отправлено 4,7% входа. В выборке получено 529 000 ₸."
100000007138613100,consolidator,0.754271,1,0.614462,"Плательщиков — 3; дальше отправлено 17,9% входа. В выборке получено 1 002 000 ₸."
100000006274203100,consolidator,0.755786,44,0.607315,"Плательщиков — 2; дальше отправлено 2,1% входа. В выборке получено 3 417 512 ₸."
100000006734214100,consolidator,0.838197,11,0.605095,"Плательщиков — 5; дальше отправлено 5,9% входа. В выборке получено 610 000 ₸."
100000001282143100,consolidator,0.85,25,0.604545,Плательщиков — 5; дальше отправлено 0% входа. В выборке получено 1 700 000 ₸.
100000002849158100,peripheral,0.7,5,0.601567,"Роль не определена: плательщиков — 3, получателей — 1. Выход выше входа; отношение 1,82. Баланс неполон."
100000006225798100,consolidator,0.782715,29,0.598485,"Плательщиков — 3; дальше отправлено 3,6% входа. В выборке получено 722 000 ₸."
100000004759121100,consolidator,0.792113,1,0.595628,"Плательщиков — 6; дальше отправлено 43,9% входа. В выборке получено 710 000 ₸."
100000007629096100,consolidator,0.677659,1,0.595443,"Плательщиков — 4; дальше отправлено 71,2% входа. В выборке получено 1 075 170 ₸."
100000004299488100,consolidator,0.840549,1,0.595254,"Плательщиков — 6; дальше отправлено 19,7% входа. В выборке получено 1 749 000 ₸."
100000008603629100,distributor,0.995648,9,0.59506,"Признаки распределения: получателей — 61; выход 4 986 156 ₸. Выход выше входа; отношение 2,74. Баланс неполон."
100000004486525100,consolidator,0.789805,1,0.59362,"Плательщиков — 8; дальше отправлено 75,1% входа. В выборке получено 360 924 ₸."
100000003834495100,consolidator,0.78336,1,0.592626,"Плательщиков — 3; дальше отправлено 3,3% входа. В выборке получено 602 441 ₸."
100000001330685100,consolidator,0.781749,11,0.590939,"Плательщиков — 3; дальше отправлено 4,1% входа. В выборке получено 2 435 923 ₸."
100000007594394100,peripheral,0.7,44,0.588316,"Роль не определена: плательщиков — 6, получателей — 1. Выход выше входа; отношение 8,54. Баланс неполон."
100000008477350100,distributor,0.985271,1,0.585537,"Признаки распределения: получателей — 39; выход 3 374 866 ₸. Выход выше входа; отношение 5,53. Баланс неполон."
100000004221668100,consolidator,0.690347,42,0.585517,"Плательщиков — 4; дальше отправлено 64,8% входа. В выборке получено 1 128 300 ₸."
100000000331309100,distributor,0.996551,11,0.585403,"Признаки распределения: получателей — 99; выход 23 001 375 ₸. Выход выше входа; отношение 23,36. Баланс неполон."
100000002547110100,consolidator,0.88,5,0.583333,Плательщиков — 6; дальше отправлено 0% входа. В выборке получено 1 500 000 ₸.
100000003035737100,consolidator,0.758382,11,0.581116,"Плательщиков — 2; дальше отправлено 0,8% входа. В выборке получено 809 170 ₸."
100000008165763100,transit,0.868706,3,0.578023,"Признаки транзита: вход 1 165 815 ₸; дальше отправлено 108,8% наблюдаемого входа. Выход выше входа; отношение 1,09. Баланс неполон."
100000007908818100,consolidator,0.736973,3,0.577326,"Плательщиков — 4; дальше отправлено 41,5% входа. В выборке получено 727 475 ₸."
100000002224132100,coordinator,0.74,22,0.572091,"Гипотеза координации: узлов сбора на входе — 2; получателей — 4. Выход выше входа; отношение 3,07. Баланс неполон."
100000001887715100,consolidator,0.677345,47,0.5704,"Плательщиков — 3; дальше отправлено 56,3% входа. В выборке получено 1 331 500 ₸."
100000002741024100,consolidator,0.743643,1,0.570257,"Плательщиков — 5; дальше отправлено 53,2% входа. В выборке получено 817 980,85 ₸."
